Сеть,Адрес,План
Верный,"Борисовский проезд, 14 стр.2",1
Дикси,"115551, Москва, Шипиловский проезд, 39,к3",1
Дикси,"Генерала Белова ул, 43 стр.2",1
Дикси,"Генерала Белова ул, 5",1
Дикси,"Каширское ш, 142 стр.1",1
Дикси,"Ореховый б-р, 61 стр.2",1
Дикси,"Шипиловский проезд, 65 стр.1",1
Лента,"Генерала Белова ул, 59",1
Пятерочка,"115573, Москва г, Ореховый б-р, дом № 31",1
Пятерочка,"115573, Москва г, Ореховый б-р, дом № 43",1
Пятерочка,"115682, Москва г, Задонский проезд, дом № 36, корпус 2",1
Пятерочка,"Борисовский проезд, 11 стр.А",1
Пятерочка,"Борисовский проезд, 40",1
Пятерочка,"Борисовский проезд, 5",1
Пятерочка,"Воронежская ул, 9",1
Пятерочка,"Генерала Белова ул, 20",1
Пятерочка,"Генерала Белова ул, 28 стр.4",1
Пятерочка,"Генерала Белова ул, 29",1
Пятерочка,"Гурьевский проезд, 15 стр.1",1
Пятерочка,"Гурьевский проезд, 25",1
Пятерочка,"Домодедовская ул, 12 стр.1",1
Пятерочка,"Домодедовская ул, 4",1
Пятерочка,"Домодедовская ул, 42",1
Пятерочка,"Елецкая ул, 35 стр.2А",1
Пятерочка,"Каширское ш, 118",1
Пятерочка,"Каширское ш, 96 стр.1",1
Пятерочка,"Маршала Захарова ул, 16 стр.2",1
Пятерочка,"Маршала Захарова ул, 5",1
Пятерочка,"Мусы Джалиля ул, 15 строение 2",1
Пятерочка,"Мусы Джалиля ул, 20",2
Пятерочка,"Мусы Джалиля ул, 27",2
Пятерочка,"Мусы Джалиля ул, 36 стр.3",2
Пятерочка,"Мусы Джалиля ул, 4",1
Пятерочка,"Ореховый б-р, 12 стр.2А",1
Пятерочка,"Ореховый б-р, 9",2
Пятерочка,"Ореховый проезд, 35 стр.2",2
Пятерочка,"Ореховый проезд, 9",2
Пятерочка,"Шипиловская ул, 13 стр.2",2
Пятерочка,"Шипиловская ул, 23",1
Пятерочка,"Шипиловская ул, 36",2
Пятерочка,"Шипиловская ул, 62А",2
Пятерочка,"Шипиловский проезд, 39 стр.2",1
Пятерочка,"Шипиловский проезд, 43 стр.3",2
Пятерочка,"Шипиловский проезд, 59  стр.3",1
Пятерочка,"Ясеневая ул, 12 стр.2",2
Пятерочка,"Ясеневая ул, 31",2
Пятерочка,"Ясеневая ул, 39",2
Пятерочка,"Ясеневая ул, 40",1
Тандер СМ,"Борисовский проезд, 15 стр.1/2",1
Тандер СМ,"Генерала Белова ул, 23",1
Тандер СМ,"Маршала Захарова ул, 2 стр.1",1
Тандер СМ,"Ореховый б-р, 71 стр.2",1